Name,University,JoinYear,Rank,Subfield,Bachelors,Doctorate
Chitta Baral,Arizona State University,1999,Full,Natural Language & Speech,Indian Institute of Technology - Kanpur,University of Maryland - College Park
Kasim Candan,Arizona State University,1997,Full,Databases,Bilkent University,University of Maryland - College Park
Charles Colbourn,Arizona State University,2001,Full,Networks & Communications, University of Toronto, University of Toronto
James Collofello,Arizona State University,1979,Full,Software Engineering,Northern Illinois University,Northwestern University
Subbarao Kambhampati,Arizona State University,1991,Full,Artificial Intelligence,Indian Institute of Technology - Madras,University of Maryland - College Park
Huan Liu,Arizona State University,2000,Full,Machine Learning & Pattern Recognition,Shanghai Jiaotong University,University of Southern California
Guoliang Xue,Arizona State University,2001,Full,Security & Privacy,Qufu Normal University,University of Minnesota - Twin Cities
Rida Bazzi,Arizona State University,1996,Associate,Security & Privacy,American University of Beirut,Georgia Institute of Technology
Partha Dasgupta,Arizona State University,1991,Associate,Security & Privacy,Indian Institute of Technology - Kharagpur,State University of New York - Stony Brook
Hasan Davulcu,Arizona State University,,Associate,Data Mining,Middle East Technical University,State University of New York - Stony Brook
Joohyung Lee,Arizona State University,2005,Associate,Natural Language & Speech,Seoul National University - Seoul,University of Texas - Austin
Brian Nelson,Arizona State University,,Associate,Computer Education,Washington State University,Harvard University
Andrea Richa,Arizona State University,1998,Associate,Algorithms & Theory,Federal University of Rio de Janeiro,Carnegie Mellon University
Violet Syrotiuk,Arizona State University,2002,Associate,Networks & Communications,University of Alberta,University of Waterloo - Ontario
Peter Wonka,Arizona State University,2004,Associate,Graphics,Vienna University of Technology,Vienna University of Technology
Jieping Ye,Arizona State University,2005,Associate,Machine Learning & Pattern Recognition,Fudan University - Shanghai,University of Minnesota - Twin Cities
Georgios Fainekos,Arizona State University,2009,Assistant,Real-Time & Embedded Systems,National Technical University of Athens,University of Pennsylvania
Aviral Shrivastava,Arizona State University,2006,Assistant,Real-Time & Embedded Systems,Indian Institute of Technology - Delhi,University of California - Irvine
Yalin Wang,Arizona State University,2010,Assistant,Computer Vision,Tsinghua University - Beijing,University of Washington
Assaf J. Kfoury,Boston University,,Full,Programming Languages,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Azer Bestavros,Boston University,1991,Full,Networks & Communications,Alexandria University,Harvard University
Evimaria Terzi,Boston University,2009,Associate,Data Mining,Aristotle University of Thessaloniki,University of Helsinki
George Kollios,Boston University,2000,Full,Databases,National Technical University of Athens,Polytechnic University - Brooklyn - New York
Hongwei Xi,Boston University,2001,Associate,Programming Languages,Nanjing University,Carnegie Mellon University
Ibrahim Matta,Boston University,1999,Full,Networks & Communications,Alexandria University,University of Maryland - College Park
John Byers,Boston University,1999,Full,Networks & Communications,Cornell University,University of California - Berkeley
Jonathan Appavoo,Boston University,2009,Assistant,Distributed & Parallel Computing,McMaster University,University of Toronto
Leonid Levin,Boston University,1980,Full,Algorithms & Theory,Moscow State University,Moscow State University
Leonid Reyzin,Boston University,2001,Associate,Security & Privacy,Harvard University,Massachusetts Institute of Technology
Lorenzo Orecchia,Boston University,2014,Assistant,Algorithms & Theory,Princeton University,University of California - Berkeley
Margrit Betke,Boston University,2000,Full,Computer Vision,University of Bonn,Massachusetts Institute of Technology
Mark Crovella,Boston University,1994,Full,Networks & Communications,Cornell University,University of Rochester
Richard West,Boston University,2006,Associate,Operating Systems,University of Newcastle,Georgia Institute of Technology
Sharon Goldberg,Boston University,2010,Assistant,Security & Privacy,University of Toronto,Princeton University
Stan Sclaroff,Boston University,1995,Full,Computer Vision,Tufts University,Massachusetts Institute of Technology
Steve Homer,Boston University,1982,Full,Algorithms & Theory,University of California - Berkeley,Massachusetts Institute of Technology
Amy Greenwald,Brown University,2000,Associate,Artificial Intelligence,University of Pennsylvania,New York University
Andries van Dam,Brown University,1965,Full,Graphics,Swarthmore College,University of Pennsylvania
Anna Lysyanskaya,Brown University,2002,Full,Security & Privacy,Smith College,Massachusetts Institute of Technology
Benjamin Raphael,Brown University,2006,Associate,Bioinformatics & Computational Biology,Massachusetts Institute of Technology,University of California - San Diego
Chad Jenkins,Brown University,2004,Full,Artificial Intelligence,Alma College,University of Southern California
Claire Mathieu,Brown University,2004,Full,Algorithms & Theory,University of Paris VII: Denis Diderot,Paris XI
David Laidlaw,Brown University,1998,Full,Graphics,Brown University,California Institute of Technology
Eli Upfal,Brown University,1998,Full,Algorithms & Theory,Hebrew University of Jerusalem,Hebrew University of Jerusalem
Erik Sudderth,Brown University,2009,Assistant,Machine Learning & Pattern Recognition,University of California - San Diego,Massachusetts Institute of Technology
Eugene Charniak,Brown University,1978,Full,Natural Language & Speech,University of Chicago,Massachusetts Institute of Technology
James Hays,Brown University,2009,Assistant,Computer Vision,Georgia Institute of Technology,Carnegie Mellon University
Jeff Huang,Brown University,2013,Assistant,Human-Computer Interaction,University of Illinois at Urbana-Champaign,University of Washington
John Hughes,Brown University,1984,Full,Graphics,Princeton University,University of California - Berkeley
John Savage,Brown University,1967,Full,Security & Privacy,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Maurice Herlihy,Brown University,1994,Full,Distributed & Parallel Computing,Harvard University,Massachusetts Institute of Technology
Michael Littman,Brown University,2012,Full,Machine Learning & Pattern Recognition,Yale University,Brown University
Paul Valiant,Brown University,2013,Assistant,Algorithms & Theory,Stanford University,Massachusetts Institute of Technology
Pedro Felzenszwalb,Brown University,2011,Associate,Computer Vision,Cornell University,Massachusetts Institute of Technology
Philip Klein,Brown University,1989,Full,Algorithms & Theory,Harvard University,Massachusetts Institute of Technology
Rodrigo Fonseca,Brown University,2009,Assistant,Networks & Communications,Universidade Federal de Minas Gerais,University of California - Berkeley
Shriram Krishnamurthi,Brown University,2000,Full,Programming Languages,Ohio Wesleyan University,Rice University
Sorin Istrail,Brown University,2005,Full,Bioinformatics & Computational Biology,Alexandru Ioan Cuza University,University of Bucharest
Stan Zdonik,Brown University,1983,Full,Databases,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Stefanie Tellex,Brown University,2013,Assistant,Artificial Intelligence,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Steven Reiss,Brown University,1977,Full,Software Engineering,Dartmouth College,Yale University
Thomas Doeppner,Brown University,1981,Research,Operating Systems,Cornell University,Princeton University
Tim Kraska,Brown University,2013,Assistant,Databases,University of Münster,Swiss Federal Institute of Technology (ETH)
Ugur Cetintemel,Brown University,2001,Full,Databases,Bilkent University,University of Maryland - College Park
Adam Wierman,California Institute of Technology,2007,Full,Operating Systems,Carnegie Mellon University,Carnegie Mellon University
Alain J. Martin,California Institute of Technology,1969,Full,Hardware & Architecture,Aix-Marseille University,Institut National Polytechnique de Grenoble
Alan H. Barr,California Institute of Technology,1984,Full,Graphics,Rensselaer Polytechnic Institute,Indian Institute of Technology - Kanpur
Christopher Umans,California Institute of Technology,2002,Full,Algorithms & Theory,Williams College,University of California - Berkeley
Erik Winfree,California Institute of Technology,2000,Full,Bioinformatics & Computational Biology,University of Chicago,California Institute of Technology
Katrina Ligett,California Institute of Technology,2011,Assistant,Algorithms & Theory,Brown University,Carnegie Mellon University
Leonard J. Schulman,California Institute of Technology,2000,Full,Algorithms & Theory,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Mathieu Desbrun,California Institute of Technology,1997,Full,Graphics,École Nationale Supérieure d'Informatique et de Mathématiques Appliquées de Grenoble,Institut National Polytechnique de Grenoble
Peter Schroeder,California Institute of Technology,1995,Full,Graphics,Technical University of Berlin,Princeton University
Steven Low,California Institute of Technology,2000,Full,Networks & Communications,Cornell University,University of California - Berkeley
Thomas Vidick,California Institute of Technology,2014,Assistant,Scientific Computing,École Normale Supérieure,University of California - Berkeley
Tracey C. Ho,California Institute of Technology,2005,Assistant,Networks & Communications,Massachusetts Institute of Technology,California Institute of Technology
Venkat Chandrasekaran,California Institute of Technology,2012,Assistant,Algorithms & Theory,Rice University,Massachusetts Institute of Technology
Yaser S. Abu-Mostafa,California Institute of Technology,1983,Full,Machine Learning & Pattern Recognition,Cairo University - Cairo,California Institute of Technology
Yisong Yue,California Institute of Technology,2014,Assistant,Machine Learning & Pattern Recognition,University of Illinois at Urbana-Champaign,Cornell University
Aarti Singh,Carnegie Mellon University,2009,Assistant,Machine Learning & Pattern Recognition,University of Delhi,University of Wisconsin - Madison
Alan Black,Carnegie Mellon University,1999,Full,Natural Language & Speech,Coventry University,University of Edinburgh
Alan Montgomery,Carnegie Mellon University,1999,Associate,Data Mining,University of Illinois at Chicago,University of Chicago
Alexander J. Smola,Carnegie Mellon University,2013,Full,Machine Learning & Pattern Recognition,Technical University of Munich,Technical University of Berlin
Alexander Waibel,Carnegie Mellon University,,Full,Machine Learning & Pattern Recognition,Massachusetts Institute of Technology,Carnegie Mellon University
Amy Ogan,Carnegie Mellon University,2014,Assistant,Computer Education,Carnegie Mellon University,Carnegie Mellon University
Andy Pavlo,Carnegie Mellon University,2013,Assistant,Databases,Rochester Institute of Technology,Brown University
Aniket Kittur,Carnegie Mellon University,2007,Assistant,Human-Computer Interaction,Princeton University,University of California - Los Angeles
Anind Dey,Carnegie Mellon University,2004,Associate,Human-Computer Interaction,Simon Fraser University,Georgia Institute of Technology
Ann Lee,Carnegie Mellon University,2005,Associate,Machine Learning & Pattern Recognition,Chalmers University of Technology,Brown University
Anupam Datta,Carnegie Mellon University,2007,Associate,Security & Privacy,Indian Institute of Technology - Kharagpur,Stanford University
Anupam Gupta,Carnegie Mellon University,2004,Associate,Algorithms & Theory,Indian Institute of Technology - Kanpur,University of California - Berkeley
Ariel Procaccia,Carnegie Mellon University,2011,Assistant,Artificial Intelligence,Hebrew University of Jerusalem,Hebrew University of Jerusalem
Bhiksha Raj,Carnegie Mellon University,,Associate,Natural Language & Speech,Indian Institute of Technology - Madras,Carnegie Mellon University
Brad Myers,Carnegie Mellon University,1987,Full,Human-Computer Interaction,Massachusetts Institute of Technology,University of Toronto
Carolyn Penstein Rose,Carnegie Mellon University,2003,Associate,Natural Language & Speech,University of California - Irvine,Carnegie Mellon University
Chris Harrison,Carnegie Mellon University,2013,Assistant,Human-Computer Interaction,New York University,Carnegie Mellon University
Christine Neuwirth,Carnegie Mellon University,1983,Full,Human-Computer Interaction,University of Wisconsin - Madison,Carnegie Mellon University
Christopher Dyer,Carnegie Mellon University,2012,Assistant,Natural Language & Speech,Duke University,University of Maryland - College Park
Christopher Langmead,Carnegie Mellon University,,Associate,Bioinformatics & Computational Biology,Oberlin College,Dartmouth College
Christos Faloutsos,Carnegie Mellon University,1998,Full,Data Mining,National Technical University of Athens,University of Toronto
Claire Le Goues,Carnegie Mellon University,2013,Assistant,Software Engineering,Harvard University,University of Virginia
Daniel P. Siewiorek,Carnegie Mellon University,1972,Full,Human-Computer Interaction,University of Michigan,Stanford University
David Andersen,Carnegie Mellon University,,Associate,Networks & Communications,University of Utah,Massachusetts Institute of Technology
David Brumley,Carnegie Mellon University,,Assistant,Security & Privacy,University of Northern Colorado,Carnegie Mellon University
David O'Hallaron,Carnegie Mellon University,1989,Full,Scientific Computing,Virginia Polytechnic Institute and State University,University of Virginia
Edmund M. Clarke,Carnegie Mellon University,1982,Full,Hardware & Architecture,University of Virginia,Cornell University
Eric Poe Xing,Carnegie Mellon University,2004,Associate,Machine Learning & Pattern Recognition,Tsinghua University - Beijing,University of California - Berkeley
Frank Pfenning,Carnegie Mellon University,1986,Full,Programming Languages,Technische Universität Darmstadt,Carnegie Mellon University
Garth Gibson,Carnegie Mellon University,1991,Full,Hardware & Architecture,University of Waterloo - Ontario,University of California - Berkeley
Ge Yang,Carnegie Mellon University,2008,Assistant,Bioinformatics & Computational Biology,Tsinghua University - Beijing,University of Minnesota - Twin Cities
Greg Ganger,Carnegie Mellon University,,Full,Operating Systems,University of Michigan,University of Michigan
Gustavo Rohde,Carnegie Mellon University,2007,Associate,Bioinformatics & Computational Biology,Vanderbilt University,University of Maryland - College Park
Guy Blelloch,Carnegie Mellon University,,Full,Distributed & Parallel Computing,Swarthmore College,Massachusetts Institute of Technology
