1_Bioinformatics & Computational Biology_University of California - Berkeley,2_Bioinformatics & Computational Biology_Princeton University,1
1_Data Mining_Stanford University,2_Data Mining_University of Illinois at Urbana-Champaign,1
1_Bioinformatics & Computational Biology_Iowa State University,2_Bioinformatics & Computational Biology_Georgia Institute of Technology,1
1_Machine Learning & Pattern Recognition_University of Illinois at Urbana-Champaign,2_Machine Learning & Pattern Recognition_University of Illinois at Urbana-Champaign,1
1_Scientific Computing_Massachusetts Institute of Technology,2_Scientific Computing_Massachusetts Institute of Technology,1
1_Data Mining_University of Chicago,2_Data Mining_Carnegie Mellon University,1
1_Security & Privacy_California Institute of Technology,2_Security & Privacy_Georgia Institute of Technology,1
1_Human-Computer Interaction_Columbia University,2_Human-Computer Interaction_Carnegie Mellon University,1
1_Bioinformatics & Computational Biology_University of California - Irvine,2_Bioinformatics & Computational Biology_Carnegie Mellon University,1
1_Algorithms & Theory_Massachusetts Institute of Technology,2_Algorithms & Theory_University of California - Berkeley,1
1_Computer Education_University of California - Berkeley,2_Computer Education_University of Washington,1
1_Distributed & Parallel Computing_Yale University,2_Distributed & Parallel Computing_Princeton University,1
1_Algorithms & Theory_University of Washington,2_Algorithms & Theory_University of California - Berkeley,1
1_Machine Learning & Pattern Recognition_Stanford University,2_Machine Learning & Pattern Recognition_Stanford University,2
1_Real-Time & Embedded Systems_University of California - Berkeley,2_Real-Time & Embedded Systems_University of Washington,1
1_Programming Languages_Stanford University,2_Programming Languages_University of Texas - Austin,2
1_Artificial Intelligence_Stanford University,2_Artificial Intelligence_University of California - Berkeley,3
1_Scientific Computing_University of Michigan,2_Scientific Computing_University of Texas - Austin,1
1_Scientific Computing_Cornell University,2_Scientific Computing_Stanford University,1
1_Information Retrieval_Massachusetts Institute of Technology,2_Information Retrieval_Princeton University,1
1_Algorithms & Theory_Cornell University,2_Algorithms & Theory_Cornell University,1
1_Networks & Communications_University of California - Berkeley,2_Networks & Communications_University of Washington,1
1_Hardware & Architecture_University of Washington,2_Hardware & Architecture_Georgia Institute of Technology,1
1_Algorithms & Theory_University of California - Berkeley,2_Algorithms & Theory_Georgia Institute of Technology,2
1_Operating Systems_University of California - Berkeley,2_Operating Systems_Stanford University,1
